,sno,rent,return
229,136,2856.4516449609296,5050.8174585902425
230,168,2622.475357367539,6124.10156676063
231,399,398.7430250173663,835.3933205382959
232,235,804.8397355995788,13944.602898612782
233,88,7470.544893111881,6564.111744935487
234,213,1493.5628543854457,1663.1232666281835
235,85,6385.342042522077,5560.11034063174
236,55,9257.281620432643,7129.761216197917
237,338,3771.5651923306323,4221.611066879563
238,283,3541.9123365775163,3993.160277274129
239,5,23020.695688879605,8435.881993010571
240,26,4304.138357441591,4402.985010194789
241,96,1496.2620091414472,15506.417510179455
242,186,5055.1048455991495,5001.187858899124
243,147,20985.684334803096,4111.897615456883
244,121,3555.138534572176,2845.1706451459113
245,154,1757.4524175635595,1999.2476084767488
246,310,2416.6557471017672,3218.9979807387267
247,347,1113.291067061979,1409.6708835753118
248,297,679.8661632998071,5598.819518434221
249,326,6040.3757333463955,18580.196392934064
250,227,4168.4909739616805,4040.6341086517596
251,61,23409.98680050888,21619.286389703062
252,159,25058.55420809429,3163.388057131151
253,149,3773.165249495442,4081.552523244066
254,217,2572.924017533359,9195.516679338905
255,244,3416.4358621229817,3296.0227547758222
256,222,2089.709070660316,2754.126177211204
257,301,4728.904841504003,11473.433749318467
258,296,1969.3585250024944,11892.730973161715
259,171,6672.395446914099,6512.273105452504
260,40,2267.3184602080055,2555.895146519121
261,117,6647.931257165646,7217.474004109748
262,224,1112.2360361002516,4190.415492525771
263,72,1650.9724407148656,1597.9859198378438
264,337,2875.338067080113,4414.155864941789
265,70,13674.700362347981,12959.532591880003
266,141,1716.691003063743,3117.506214909603
267,135,6259.428488288687,8839.127615324942
268,396,884.0022624405437,2625.8924197308615
269,225,3628.821296233806,3388.9150181142045
270,237,2856.0537459928864,2874.3113957955215
271,286,2153.0678112869555,3044.736934449346
272,3,5338.259360503197,4893.062946662346
273,208,1420.8149070163925,1913.5934782497561
274,385,2861.455923127246,2019.1532878907435
275,392,4660.082724587623,4053.80265923244
276,146,6499.020310785311,6792.547607488666
277,388,1626.5432671773597,2208.4039485565136
278,221,11078.194934193927,4402.507353770122
279,384,139.43457247038842,1552.5231077185292
280,298,4040.3624837383095,4135.449552346154
281,24,9137.672077723078,8211.112592091282
282,350,704.7595334580441,9194.462191993613
283,89,3756.9620706097103,3610.5845787074427
284,372,575.0156519608836,7803.325573113043
285,182,4758.077973299723,4880.355827191292
286,240,4930.122817942774,4838.93882995022
287,271,2877.908963118882,2921.0441626240436
288,400,1273.7209270479934,3599.0118088164145
289,370,2205.484980678853,2926.139777932695
290,367,1532.4464101559963,3190.7637016864787
291,398,738.2540213232841,3338.6247168557297
292,86,2359.71947485289,2499.613770165303
293,269,7295.439328786169,7497.217417148845
294,242,367.031333812251,2244.3355364116123
295,69,1757.3357675754512,2769.7295896892174
296,354,3300.0474239016626,5652.561897051637
297,184,4460.469594112261,5738.29391021408
298,143,2083.505459556082,2495.8465497702377
299,22,10673.479704388817,14154.790567154289
300,167,2159.3978327302266,2933.7416382496945
301,325,1985.2297096306008,1995.4220105030415
302,34,4092.2443719797575,17017.900223000488
303,343,5027.8097617153335,6362.527878131458
304,369,1384.1333028288857,2921.411645078454
305,339,988.4720532215365,1762.1733739901986
306,246,3487.7492742454983,9426.324416229265
307,1,16106.352256175202,14692.339534601017
308,163,3799.714331367557,10172.142989557313
309,133,4004.9739075304847,5099.67273459778
310,315,914.8486213576539,2018.8754295399208
311,322,2620.530671448056,4027.96573967555
312,32,8950.595790225363,9065.436448401148
313,35,7203.989311485685,6783.580912762816
314,209,1802.523508861951,1690.0964469520668
315,145,2656.5594290359854,2671.8783654949566
316,268,798.9937421532161,5293.879862633832
317,305,5749.347615164698,5218.672532359163
318,161,3734.2533390224075,3710.7823972849715
319,312,3408.175318260491,3846.206702713727
320,220,717.7604057065282,3794.7534834294574
321,394,3787.8087332915848,5179.148771757768
322,351,3567.0395287969545,3984.9011280080713
323,197,1978.6260384418274,5257.275149732987
324,270,1749.6733980946271,11969.78600477051
325,357,1433.2703862146877,4419.143355900553
326,78,8318.286181660258,7953.149942004111
327,173,8956.623750052247,11420.513254665922
328,307,6515.6882982536845,4885.087614362715
329,371,622.3126224013137,972.0792148791168
330,51,1646.8466838172885,1649.185859750198
331,282,5473.556522043049,6596.325795471294
332,321,3395.3987983740585,5003.484285975124
333,368,838.5898878474508,2566.3818889635268
334,377,1485.5298717965923,4211.601714312501
335,25,4905.2969329083435,8282.111445760676
336,243,893.8965264503493,3420.115933707511
337,75,4525.493453757281,11440.834803457306
338,179,1072.7380854616842,1126.9702746745363
339,58,4830.8931886349965,7595.636510523657
340,323,2112.068654187169,2879.8914910114236
341,62,6864.135561015677,6894.655828973626
342,196,719.08344439293,1600.2106111384214
343,13,2674.408906655824,3302.927186602817
344,42,5459.400882880831,9208.021448715244
345,45,29207.564533866906,24687.625604743767
346,101,3443.4597427587273,3326.526416549251
347,102,1781.5316444004018,1594.3283852456495
348,139,4014.841092745764,4372.935627241727
349,228,2977.4124672272064,2885.3894017965754
350,219,2830.6486889050716,9037.263302571193
351,124,1233.971231431268,2135.050350694334
352,204,1059.0297446247673,2817.606608453352
353,266,1110.4418039681323,4344.3886796648385
354,181,7639.583169257338,7143.028769366675
355,144,3380.4308896943894,3959.872851494098
356,383,4847.873967008631,4472.492705416074
357,53,2962.5154851915963,4061.1946518235245
358,57,7996.025887902065,8724.547266190952
359,241,8126.242243497298,10850.710068930974
360,336,1530.7514494521963,1611.4124239312541
361,214,4697.382036837114,4500.587739395823
362,46,19605.94114037885,4437.338278743237
363,15,7984.444689519742,4137.722199471588
364,232,1215.185993994335,2240.597018653734
365,397,1800.936423086612,7476.7273589452225
366,52,2817.75016635613,4625.619526074318
367,120,5671.260618240005,5120.293546272518
368,309,2667.895800064163,5731.109665675575
369,280,2321.25957187041,2680.8649723550047
370,106,2035.844787796948,4821.413589394712
371,4,9074.296281255092,1980.1252485638377
372,104,3279.1719991485656,3048.694966702966
373,294,3946.0608206159213,19217.008195866492
374,185,7888.461256797805,6962.29380305083
375,263,908.4497784687935,1554.7745817320272
376,119,6423.243806675876,6218.503276512765
377,205,1115.248402823335,3045.22314453309
378,267,1937.5786435652103,3360.6131880952917
379,291,744.5676597865368,1339.5495511551635
380,389,734.4841727362135,1481.464815647
381,293,1519.7868271570194,4273.559640393474
382,395,1484.2526739069733,1726.9507810010105
383,234,3646.8700278457964,5312.752017551732
384,194,15095.51092212516,5814.743760476466
385,252,1156.0895294050542,2580.7398164092406
386,169,2318.9303568671485,2847.9683987010812
387,87,15667.302288524339,15568.04345446145
388,177,692.8491899396289,1444.9432514808325
389,274,2157.610715583328,5711.708588504845
390,344,3441.871148082101,3374.4408425693287
391,38,15852.512545334888,16912.016231070735
392,157,1654.0096734904546,2327.041254468859
393,201,736.6878579154131,3750.602751558741
394,192,1297.5022157977226,1554.6337189190256
395,103,4274.106339341594,5530.421593332646
396,251,1121.5658696661555,1153.4097277203796
397,257,1261.670321439004,1911.3877157709264
398,279,3889.8391997613476,3480.9854926442886
