,sno,rent,return
0,349,752.3051242680725,736.6226985370462
1,196,1011.0776429137378,1461.7007217621533
2,52,1758.8399586090827,1793.7655922667266
3,94,1329.4269442131824,1701.9309621720852
4,254,2946.5810696466506,2533.7608411213555
5,163,1555.3041503191587,1663.2092472085405
6,295,1942.01622032361,3679.96154871216
7,54,3847.612376526513,4249.003412566292
8,355,1007.1454711212278,1114.0960461288785
9,352,791.5579574484739,885.9796837399829
10,385,276.68212808202844,328.7369769283644
11,186,768.6208428087284,895.1876898170573
12,14,2324.895481521696,3031.5055665461014
13,85,1549.7451403375976,1574.6167787750771
14,152,1436.0658062916198,1724.6492397006414
15,177,902.242206948888,1001.8747426699607
16,207,937.4619992298354,1251.9317074026044
17,373,523.0564023124084,725.9703850709063
18,272,1703.8286298803644,1505.8296716428456
19,17,4956.284293702289,2391.9473238347036
20,66,3392.248222049796,3104.886793427419
21,2,10262.699060188796,7003.314857979755
22,211,1080.081941335934,1122.0904598115073
23,387,1324.6848681856375,1328.4923786006452
24,69,1129.6437491528027,1236.3810092362305
25,339,899.1963078216013,954.1168691517827
26,201,640.7199076039389,813.934272530651
27,153,1220.4302520013177,1206.079184796753
28,274,3131.7675520383054,2826.6626965380924
29,327,2484.7458622563395,4389.7581937961
30,217,1983.8838171626885,3803.6444365897296
31,213,2409.2845411034373,2369.1952220110525
32,394,1522.0584745665983,1684.6328976961122
33,333,724.7813463383285,781.9584387932648
34,35,4699.984255292777,4429.778549769729
35,162,2283.114320396594,3072.9573703518895
36,271,950.4288505722035,2329.2264810447264
37,176,429.081577325338,818.1882423990215
38,205,2195.0316626417944,4470.419443407967
39,120,1944.1581725775297,1594.6657957076775
40,168,1572.332662002542,1749.1034846457771
41,258,2085.3707104493437,1325.5466796759742
42,262,914.4446402051904,973.4634045509878
43,146,4046.7401695685876,1936.4108551647814
44,97,1453.1775528131448,1501.1978550477615
45,37,6479.857945973816,6113.373536763478
46,11,3547.828349850088,3278.9265011585726
47,51,1170.7134576829635,1280.6763837910028
48,189,822.7824742907447,880.4237616057395
49,122,2310.707467422045,2608.0099693060993
50,193,3925.016178310607,2984.6567641857914
51,307,2691.609555637667,2352.330971610925
52,41,1585.3879651366096,1571.644679945184
53,13,2167.51816601384,2296.5489326378397
54,354,1393.5024219569912,1565.4130445348922
55,60,2066.766314801942,2286.3061912176154
56,19,1958.5629936256837,1920.732672705913
57,375,303.80915061926623,450.3642969863397
58,24,4826.402179677943,4426.558030795485
59,248,778.797149455492,971.9660487897712
60,185,2901.5123642679864,2760.445978460727
61,179,3577.809106143032,3861.7619035875323
62,15,2998.8481121924133,2336.7338316547734
63,273,486.4123764872765,872.1559493576823
64,264,433.8939962709786,591.6789670082924
65,75,1001.4893908574369,1030.7118899091056
66,227,1856.0118534104247,1783.5509524541203
67,109,1889.7616251792183,2265.1754898903528
68,240,4290.6412108215245,4530.844292182198
69,96,4681.296401639187,5008.865340573651
70,335,1547.0494497591212,1591.0295408948257
71,341,448.74825904954776,489.0327187418036
72,377,912.7053193665522,789.0050696922042
73,192,1682.254439732587,1619.172937026802
74,370,753.0424954808327,961.2543888066259
75,5,6073.024946433202,4467.002910229632
76,160,2416.759193631008,2302.5016829526967
77,393,157.67371372552878,380.9724399480886
78,87,3871.011108224827,3357.6613885262464
79,81,4984.519635832524,4582.463420475934
80,237,2312.629672040035,1783.8099674572961
81,103,1620.160485877865,1926.0257007631026
82,399,464.66009081908464,462.0486987320709
83,80,5716.332390615507,6411.231940898722
84,172,4803.552851796262,4939.577208628285
85,197,1952.926265889217,1577.0012682303081
86,203,726.4977632450082,1048.4788982139794
87,10,3853.0294574529275,4148.847430311218
88,25,2825.213974197353,3044.9817733444647
89,39,1697.1505531331038,1441.6237373184447
90,88,2150.154180518225,1979.2991183749868
91,291,810.6898297129427,881.3149266862556
92,123,668.5043006593152,782.0703293182781
93,42,3294.3301291764915,3963.874619611473
94,397,85.5219270129012,1230.9776602359607
95,131,10541.470912543467,9934.360220970448
96,356,786.5506976667175,813.7081786488324
97,191,698.0637506703811,911.7746432096036
98,208,948.9299236508458,879.4253805752936
99,165,1220.3987053418239,1207.809173669417
100,219,577.0493913002595,1168.9982891347618
101,178,576.8049930435762,1111.6973509008646
102,364,1244.826092271527,796.7967118406049
103,391,497.3067463849651,602.5703278456383
104,259,305.35389304870506,276.50678111033733
105,121,2679.088464384855,2843.394801992857
106,63,3835.1333744734357,3725.5688156307083
107,202,143.92011673147016,1660.1183692737093
108,360,598.9808010278794,923.7212783085599
109,344,733.5645847503818,970.6384496814455
110,114,5370.2188037360265,5438.983268957536
111,257,715.3852109178663,1118.8275112813415
112,328,967.4580094246985,1427.204260083328
113,336,531.4009785463328,544.7081787526234
114,305,1508.5923902764457,1501.4762735388128
115,23,1003.0777636853486,1045.4774029121816
116,313,787.4319018175477,1057.5154845202032
117,244,3557.9255191754646,3345.6568861734763
118,190,1186.3806303206404,2392.232430178974
119,8,1984.7397814323167,1869.7545293433575
120,158,5406.870444166385,1646.0012150663802
121,316,390.486875579705,633.5424216262081
122,301,3652.3325423624833,3381.371023712127
123,90,1722.2946902316107,1562.5619987699688
124,73,896.0708677331274,1055.812483351092
125,320,365.26702561277006,2131.965290524215
126,127,2915.274258110204,3412.8889521928486
127,242,554.0054151359894,948.5083025466884
128,6,4,3.4641016151377544
129,68,2282.364782413188,2861.4059481310933
130,138,1653.7920062692285,1620.6822637395646
131,299,2000.9055449970647,1989.524063689605
132,398,1436.9450233046496,1820.7605553723972
133,372,292.1900066737396,579.5480998157099
134,315,4102.196484811521,2784.3052993520664
135,12,4751.869000719612,5995.992411602937
136,74,2656.1703635121,3264.5875696632797
137,140,857.2094259864389,1204.2300444682487
138,292,462.9967602478445,565.4069331021684
139,198,1210.8951234520684,1428.5265135796394
140,142,1230.47754957171,861.0569086883863
141,381,733.5182342655157,1081.072615507395
142,231,718.6863015252204,1309.465157993904
143,338,650.923958692565,681.7154831746159
144,110,4965.201506484908,4790.668324983478
145,340,1335.7088005998912,1269.777933341102
146,159,1212.56834858906,2334.904066551772
147,200,405.108627407514,992.376440671583
148,31,4680.13290409578,4893.529094630991
149,82,4920.115039305483,4272.145362695423
150,67,6674.379896289992,5929.64611085687
151,30,4576.96067276091,4397.5515915108945
152,309,2014.8439145502066,2054.7693301195636
153,48,1555.4073421454586,1178.5308651028195
154,128,1419.0426350184127,1417.9393499018215
155,112,1890.511570977549,1830.6995930517928
156,288,3624.9177921712926,2574.579965741985
157,154,1655.6433794751815,1634.6140217188888
158,265,1699.9314692069206,1755.3777371266847
159,108,1228.3944806128038,1829.5800064495677
160,289,1843.8611661402276,1876.1556438632697
161,104,2089.6023545162843,1980.354513717178
162,111,1882.8924557711734,1676.3633257739803
163,118,4364.42779754689,4285.385630255461
164,155,1455.8032147237484,1209.5767854915207
165,40,1278.5347081718196,2084.0007197695495
166,3,3369.5698538537526,3214.391233188642
167,116,3821.455481881216,4195.235511863428
168,102,1932.649218042426,1922.5043563019565
169,376,186.03763060198332,1907.1649115899756
170,220,957.8240965855891,1394.8455111588523
171,337,348.15944623117724,758.7799417485942
172,26,2373.0695312190073,4041.3377735596414
173,209,745.8156608707006,739.4775182519073
174,310,965.315492468654,1287.6284401953849
175,79,2073.6860900338797,2311.194280020613
176,135,1702.4118185679986,1989.0168425631796
177,117,999.0665643489426,978.0593029055037
178,281,1145.5208422372768,1258.3401765818335
179,285,779.9333304840869,878.6865197554814
180,282,1009.5454422659735,1457.6614833355513
181,280,1620.3431735283732,1740.3077314084426
182,184,3483.4963757696087,3083.8433812371213
183,214,1319.101209157205,1903.8679050816525
184,389,835.0095807833584,894.7055381520782
185,229,639.2589459679075,443.32042587726545
186,36,9101.692205298968,9415.611238788484
187,243,1996.3649465966887,2050.539197381996
188,363,152.11837495845134,494.53715735018335
189,304,1223.0429264747825,1135.0083700131906
190,92,3172.4788415370085,4218.889190296422
191,261,940.8549303691829,980.5508655852586
192,233,2213.8735284564023,2430.412104973146
193,18,2867.4581078021,2866.3811679537666
194,359,849.5887240306336,1427.2879877586022
195,366,691.9804910544805,1180.2669189636724
196,357,1176.3757902983214,1386.262240703396
197,34,2466.817382782925,3491.6103734523417
198,170,3711.225808274134,3685.490198060497
199,149,3987.328178116268,3043.09135584195
200,306,3801.615577619599,3484.1636012104827
201,124,1180.604506174697,1302.3574778070727
202,53,1817.4039176803817,1862.5882529426626
203,228,308.6891640469422,1313.3723767462143
204,195,181.78283747372853,334.6102210034834
205,224,2477.4347620068625,2422.6669189139475
206,331,435.2861128039809,479.3307834888137
207,49,5579.312681684009,5461.820209417369
208,101,1232.5428998619075,1059.2289648607614
209,106,2427.2741913512778,2127.6167418029027
210,298,428.4366931064612,988.661721722855
211,279,635.1125884439703,877.6679326487895
212,76,2819.0365375425695,3107.916182910987
213,325,319.5121280953197,498.56193196031325
214,388,113.74093370462545,354.6604009471596
215,173,5240.237112955863,3847.983108071032
216,129,3799.5035201983956,3703.2013177789836
217,308,2130.441738231769,2123.6958350950354
218,105,1058.3038316098075,1335.413044716877
219,249,848.4927813481975,1159.6417550260942
220,83,1793.2152687282137,2070.502354502404
221,365,540.4387106786486,684.2324166538735
222,183,3003.6469499593322,2975.7459568988747
223,56,2848.9680587890066,2770.17346027284
224,187,807.9653457915135,1030.488233799882
225,174,3067.0904779611574,2963.4186339428993
226,93,4170.660858904737,3184.6830297535107
227,126,961.2627112293496,1116.5948235595579
228,143,1789.6996954796634,2082.1087867832457
229,89,1649.6460226363715,1957.1315745243087
230,270,3842.4519515538514,3600.1091650115277
231,139,2704.854894444432,2424.0457916466844
232,134,3190.6489935434765,3175.1785776551214
233,58,2903.4152303795613,2874.3108739313498
234,86,8296.874471751396,7539.573794320207
235,266,1584.819232594052,1543.0968861351512
236,99,2094.2583412750205,2093.1889546813495
237,119,3955.706890051385,3689.6144785058505
238,371,787.896566815721,956.0533457919595
239,16,1980.6307076282544,2034.7582165947874
240,347,532.1672669377552,662.597162686349
241,322,1600.7488872399692,1391.840148867678
242,260,330.758219852508,1267.0418304065577
243,343,706.8592504876766,945.034390908606
244,226,2406.0534075535397,2225.9110494357137
245,362,396.4101411417221,598.0819341862785
246,77,4607.800234385167,4168.272663826108
247,132,2343.724813198,2366.807131981818
248,113,2781.6318951291883,3162.4787746323295
249,136,1316.611180265457,1585.8789361108243
250,255,459.51713787409494,774.7954568787817
251,290,1794.8041675904367,2019.5766883186188
252,55,2847.192125586189,2550.9743236653717
253,275,1208.5015515091407,2540.569817973913
254,45,12573.688122424543,11995.475980552
255,374,820.5181289892381,998.2529739499903
256,137,5361.103990783988,5851.523904078322
257,20,7265.33268336695,6710.070267888407
258,210,2902.385398254339,2163.8401049985187
259,144,1612.7653270082415,1762.9775948661402
260,180,4157.343863574434,3893.3070775370393
261,188,1693.6941872723069,1963.5534115475443
262,367,731.0683962530455,861.0087107573303
263,133,8531.568671703932,8276.651376009502
264,204,631.9303759117772,1247.8713876037066
265,206,322.8652969893172,1742.3949035738137
266,342,881.9484111896795,1008.6471137122239
267,314,784.1402935699708,789.7410968159122
268,4,1259.8662627437882,1051.853601980808
269,300,835.3771603293927,736.6288074736149
270,321,1682.0966084027398,2057.2996864822585
271,324,601.4482521381203,799.8093522834051
272,236,1729.7144272971766,1910.5274140927684
273,319,479.8062108810181,1195.5392088927908
274,238,405.9642841433221,851.496917199352
275,303,1854.1286363141044,1804.3417082138294
276,311,1258.6325913466567,1302.6856873398126
277,383,548.3156025502101,1020.8369115583547
278,287,1053.6469997110037,1478.4917990979861
279,161,1185.3518464995952,2427.6002553962626
280,91,1981.9467702236607,2154.7626319388405
281,346,1186.2276341411036,1095.8261723466912
282,175,806.7310580360719,1224.1490922269231
283,212,909.9791206395892,906.1815491390232
