,sna,lat,lng,rent,return
77,捷運民權西路站(3號出口),25.0612,121.52,6792.769230769231,5512.846153846153
78,華江高中,25.0275,121.49600000000001,5122.923076923077,5923.846153846153
79,捷運台電大樓站(2號出口),25.0204,121.529,12817.307692307693,12503.692307692307
80,捷運西門站(3號出口),25.0419,121.509,6586.923076923077,5727.769230769231
81,捷運大安森林公園站,25.0334,121.53399999999999,12496.769230769229,10604.846153846154
82,復華花園新城,25.0296,121.50299999999999,4038.5384615384614,4694.692307692308
83,信義敦化路口,25.0334,121.54899999999999,8549.538461538461,7534.923076923077
84,民權復興路口,25.0623,121.545,3499.384615384615,3614.8461538461543
85,捷運大安站,25.0333,121.542,19130.153846153848,18116.76923076923
86,捷運象山站,25.0329,121.571,10009.23076923077,8411.923076923076
87,和平重慶路口,25.0272,121.51700000000001,5364.076923076923,4928.538461538462
88,老松國小,25.0382,121.50200000000001,4002.615384615385,3996.6923076923076
89,市立美術館,25.0641,121.522,3342.769230769231,2935.1538461538457
90,開封西寧路口,25.0466,121.507,4928.0,5269.923076923077
91,吳興公車總站,25.024,121.57,8124.461538461538,9494.307692307691
92,捷運景美站,24.9934,121.541,9869.153846153846,7435.3076923076915
93,東園國小,25.0235,121.49799999999999,3074.615384615385,3755.0
94,三民公園,25.0616,121.564,2142.3846153846152,3782.307692307693
95,捷運劍潭站(2號出口),25.0833,121.525,12866.0,12552.692307692307
96,羅斯福景隆街口,24.9996,121.54,3036.9230769230767,2825.9230769230767
97,捷運雙連站(2號出口),25.058000000000003,121.521,8789.153846153846,9206.615384615385
98,金山市民路口,25.0458,121.531,4206.153846153846,4109.538461538462
99,華山文創園區,25.0437,121.52799999999999,4682.307692307692,4368.2307692307695
100,臺北市客家文化主題公園,25.0206,121.525,2479.230769230769,2199.923076923077
101,萬華車站,25.0329,121.49799999999999,2427.4615384615386,2726.153846153846
102,台北花木批發市場,25.0041,121.541,4118.538461538462,4592.307692307692
103,峨嵋停車場,25.0444,121.505,4731.692307692308,4558.846153846154
104,西園艋舺路口,25.0329,121.49799999999999,2890.8461538461543,2989.769230769231
105,捷運小南門站(1號出口),25.0367,121.509,5019.0,4161.153846153846
106,臺北孔廟,25.0733,121.516,4793.0,4701.846153846154
107,林安泰古厝,25.0715,121.53,2155.769230769231,2663.230769230769
108,文湖國小,25.0863,121.561,4812.153846153846,5234.538461538462
109,捷運忠孝復興站(2號出口),25.0403,121.544,11958.846153846154,10596.846153846154
110,捷運新北投站,25.1374,121.50299999999999,4259.769230769231,3978.615384615385
111,仁愛逸仙路口,25.0377,121.561,4360.076923076923,4226.2307692307695
112,蘭雅公園,25.1099,121.53,6718.3076923076915,8234.923076923076
113,臺北轉運站,25.0484,121.521,12465.384615384617,12506.230769230771
114,福林公園,25.0961,121.53,2095.3076923076924,2398.923076923077
115,捷運北投站,25.1374,121.50299999999999,10184.615384615385,10785.846153846154
116,大業大同街口,25.1369,121.499,2788.6923076923076,2409.769230769231
117,捷運劍南路站(2號出口),25.0843,121.555,10363.307692307691,9977.53846153846
118,捷運龍山寺站(1號出口),25.0355,121.5,10075.46153846154,9138.615384615385
119,龍江南京路口,25.053,121.541,4108.076923076923,3669.384615384615
120,捷運港墘站(2號出口),25.0797,121.57600000000001,6632.923076923077,6634.769230769231
121,天母運動公園,25.1164,121.53399999999999,4969.615384615385,6101.153846153847
122,振華公園,25.1158,121.51799999999999,1696.9230769230771,1836.2307692307693
123,華西公園,25.0386,121.499,2800.615384615385,3064.0769230769233
124,敦化基隆路口,25.0218,121.54799999999999,7204.076923076923,7000.923076923077
125,東湖國中,25.0685,121.615,2208.076923076923,2198.230769230769
126,成功國宅,25.0268,121.54700000000001,6690.153846153847,7467.846153846153
127,捷運文德站(2號出口),25.0784,121.585,3456.615384615385,3241.769230769231
128,羅斯福寧波東街口,25.0316,121.51899999999999,9122.923076923076,8975.76923076923
129,洲子二號公園,25.0793,121.569,3468.615384615385,2633.3076923076924
130,羅斯福新生南路口,25.016,121.53299999999999,27935.30769230769,24616.615384615387
131,蘭興公園,25.112,121.52600000000001,6037.153846153847,6449.23076923077
132,捷運芝山站(2號出口),25.1033,121.523,23166.69230769231,20029.153846153848
133,捷運石牌站(2號出口),25.1142,121.516,8544.846153846154,8428.0
134,國立臺北護理健康大學,25.1176,121.521,3734.4615384615386,4180.692307692308
135,國防大學,25.138,121.493,2450.153846153846,3277.0
136,捷運永春站(2號出口),25.0407,121.575,13284.307692307693,13862.307692307693
137,永樂市場,25.0545,121.51100000000001,2868.3076923076924,3154.0
138,捷運大橋頭站(2號出口),25.0633,121.51299999999999,7140.23076923077,5970.076923076923
139,文山行政中心,24.9899,121.57,1827.3076923076926,2191.692307692308
140,捷運木柵站,24.998,121.574,2597.923076923077,1786.6923076923074
141,捷運動物園站(2號出口),24.9977,121.579,2594.769230769231,1578.3846153846155
142,國立政治大學,24.9883,121.57600000000001,3323.384615384615,4049.9230769230767
143,樹德公園,25.0667,121.516,4280.461538461538,4531.538461538462
144,捷運士林站(2號出口),25.0833,121.525,9955.76923076923,9136.153846153846
145,士林運動中心,25.0891,121.522,5907.461538461538,5396.846153846154
146,捷運明德站,25.1103,121.51799999999999,4699.076923076923,4577.769230769231
147,北投運動中心,25.1167,121.51,5387.23076923077,5546.769230769231
148,松德公園,25.0366,121.573,7679.846153846153,6932.384615384615
149,考試院,24.9876,121.55,2517.153846153846,2379.769230769231
150,百齡國小,25.0864,121.51799999999999,7045.0,7098.153846153847
151,蔣渭水紀念公園,25.0599,121.51700000000001,3489.0,3992.230769230769
152,中正基河路口,25.0933,121.52,2586.384615384615,2642.3076923076924
153,瑞光港墘路口,25.0761,121.575,3474.9230769230767,3856.4615384615386
154,東湖國小,25.0685,121.615,2981.0,2486.846153846154
155,麗山國小,25.0827,121.571,2135.4615384615386,2170.5384615384614
156,捷運東湖站,25.0673,121.61399999999999,3347.5384615384614,3085.5384615384614
157,捷運西湖站(1號出口),25.0829,121.56700000000001,6218.3076923076915,3706.384615384615
158,大豐公園,25.1311,121.50399999999999,3169.4615384615386,3915.230769230769
159,捷運中山國小站(4號出口),25.0628,121.52799999999999,5901.0,5608.384615384615
160,捷運麟光站,25.018,121.559,2984.3076923076924,3793.5384615384614
161,捷運奇岩站,25.1374,121.50299999999999,5965.384615384615,6988.6923076923085
162,捷運唭哩岸站(2號出口),25.1208,121.506,3794.230769230769,3872.6923076923076
163,臺北市立景美女中,24.9807,121.556,2753.3076923076924,2605.0
164,臺北市立天文館,25.0961,121.51799999999999,2111.846153846154,2498.692307692308
165,河堤國小,25.0228,121.523,2863.5384615384614,3038.6923076923076
166,植物園,25.0301,121.51,4093.8461538461543,5068.692307692308
167,新東公園,25.0592,121.569,3201.6923076923076,3698.230769230769
168,文山運動中心,24.9968,121.56,2769.769230769231,2927.5384615384614
